obs0,obs1,action_sb3,action_numpy
0.110961936,0.283095866,2.92202568,2.92202568
0.000296474493,-0.213661492,-0.839191437,-0.839191437
-0.194425479,-0.162206382,-3.98854637,-3.98854637
-0.147271112,0.106595203,-2.84061813,-2.84061813
-0.151266992,0.00379795907,-3.16130447,-3.16130447
0.0777049735,0.0486699641,1.8170681,1.8170681
-0.12008974,0.182474717,-2.48989487,-2.48989677
0.0861628503,0.143390402,2.20145035,2.20145035
-0.147576898,-0.225747719,-3.84988403,-3.84988403
0.171025023,-0.0614530854,3.07689095,3.07689095
-0.0796205252,-0.00684957299,-2.88819504,-2.88819504
0.0651456863,0.273373961,2.28233719,2.28233719
-0.08542151,0.254885048,-2.11782074,-2.11782074
-0.190056205,0.0331188254,-3.31730843,-3.31730843
0.0535900444,-0.236461565,0.677145004,0.677145004
-0.143864155,-0.0485314094,-3.28784943,-3.28784943
0.186492771,0.0576255322,4.09274483,4.09274483
0.173209295,0.182616547,3.80947876,3.80947876
-0.013047359,0.17085807,-0.690259933,-0.690259933
-0.192865282,-0.234513596,-4.22309875,-4.22309875
0.131771445,0.178090259,2.88059616,2.88059616
-0.106943704,0.0184617545,-2.93085861,-2.9308567
0.042406328,0.220643371,1.8143425,1.8143425
0.041242864,-0.0524570569,1.04025269,1.04025269
-0.0503263809,-0.0444707498,-2.87270164,-2.87269974
0.0607724115,0.220494375,2.07436752,2.07436752
-0.0184412468,-0.151296258,-2.07060623,-2.07060432
-0.105335057,0.147608563,-2.53330803,-2.53330803
0.126627505,-0.236833155,1.60785675,1.60785675
-0.173376456,0.0566601977,-3.11024857,-3.11024857
-0.141530707,0.194798514,-2.55647469,-2.55647469
-0.075866133,-0.21367684,-3.49568748,-3.49568748
0.168388188,-0.200680971,2.54457283,2.54457283
-0.0861119702,-0.207831964,-3.52305984,-3.52305984
-0.153803974,-0.287311196,-4.10033417,-4.10033417
-0.177841842,-0.195215121,-3.9716568,-3.9716568
-0.17864722,0.0546862893,-3.15314102,-3.15314102
0.0722858086,-0.0638217255,1.42035103,1.42035103
-0.0728035644,0.00271574222,-2.82913017,-2.82913017
0.150001973,0.21067898,3.20538521,3.20538521
-0.182609975,-0.191100955,-3.99467278,-3.99467278
-0.105302051,-0.150367454,-3.43260956,-3.43260956
0.0284930598,-0.0502425432,0.864776611,0.864776611
-0.180298358,-0.0758315176,-3.58535004,-3.58535004
0.00950117968,-0.238996863,-0.215303421,-0.215303421
0.133383423,-0.268822879,1.59607315,1.59607315
0.169936746,-0.240532115,2.51530457,2.51530457
0.137429982,0.241591886,3.13528252,3.13528252
0.191828266,0.181215525,4.63361359,4.63361359
0.111791015,0.085489966,2.35900497,2.35900497
0.111598544,-0.21926868,1.46953964,1.46953964
0.0144272139,0.00853372179,0.827726364,0.827726364
0.143028855,-0.0223203804,2.44438362,2.44438362
-0.0459642,0.0837379619,-2.4634285,-2.4634285
-0.0934146717,-0.216138959,-3.58049583,-3.58049583
-0.00884908997,-0.0498663783,-1.0385704,-1.0385704
-0.106972024,-0.0794929117,-3.2264061,-3.2264061
-0.0534430183,-0.103502661,-3.06496239,-3.06496239
-0.0482143685,0.111446008,-2.38905716,-2.38905716
-0.0812494084,0.269314766,-2.05507088,-2.05507088
0.166539207,-0.0114537431,2.96708298,2.96708298
-0.0686555207,0.0212608743,-2.75462341,-2.75462341
0.13942419,0.0915524065,2.72832298,2.72832298
0.121756732,0.0196333658,2.29548264,2.29548264
0.0531670526,-0.127106637,0.990638733,0.990638733
0.0939572677,-0.178557247,1.36432076,1.36432076
0.0779192522,0.216431439,2.30589485,2.30589485
-0.147158861,0.0686278418,-2.95036507,-2.95036507
-0.161961704,0.135429382,-2.82708549,-2.82708549
-0.166202709,0.261563897,-2.48004723,-2.48004723
-0.145036831,0.275328159,-2.33843994,-2.33843994
0.120353669,0.0562092029,2.38344574,2.38344574
0.113049641,0.177068904,2.64029121,2.64029121
0.178410828,-0.147969991,3.21397209,3.21397209
0.0360303596,-0.242970482,0.432365417,0.432365417
0.0464662798,-0.197225213,0.700040817,0.700040817
0.0259802453,0.043458309,1.08936501,1.08936501
-0.0136059392,0.013579065,-1.20789146,-1.20789146
0.105569355,0.179546833,2.55285454,2.55285454
-0.00313871377,0.0597560667,-0.273300171,-0.273300171
0.172494501,-0.228159845,2.68771744,2.68771744
-0.153158575,-0.247374594,-3.95837402,-3.95837402
0.0631453171,-0.0488350205,1.34674644,1.34674644
0.109728567,0.10273885,2.38262367,2.38262367
-0.0665448979,0.23901993,-2.08177948,-2.08177948
0.105012856,-0.13767904,1.62495995,1.62495995
-0.0543231927,-0.111336015,-3.09250641,-3.09250641
-0.136955336,-0.211329982,-3.75786591,-3.75786591
0.174450979,-0.0372575782,3.31955338,3.31955338
-0.0466720723,0.137811422,-2.30178452,-2.30178452
0.0211972259,0.261684,1.6268692,1.6268692
0.112120599,-0.0123782614,2.07971573,2.07971573
-0.0494562089,0.291978925,-1.8433342,-1.8433342
0.087104097,0.270716786,2.58458328,2.58458519
-0.152608573,0.210320204,-2.5643692,-2.5643692
0.0548295528,-0.226846993,0.721126556,0.721126556
0.0353032015,0.111657821,1.41136932,1.41136932
-0.195078924,-0.027409222,-3.55294037,-3.55293846
0.13015981,-0.122784585,1.98776436,1.98776436
-0.0165807679,-0.0346115232,-1.57872009,-1.578722
-0.0792290419,0.251065135,-2.10176849,-2.10176849
0.112517618,-0.233646959,1.43881416,1.43881416
0.198813871,0.227520019,5.01530457,5.01530457
-0.0864366218,0.202137947,-2.28334236,-2.28334236
-0.157432184,0.299462825,-2.3272953,-2.3272934
0.0662738979,0.0900750086,1.79157829,1.79157829
-0.163823709,0.238220036,-2.53681564,-2.53681374
-0.188400194,-0.155503169,-3.91761017,-3.91761017
-0.142791256,0.166060761,-2.64620781,-2.6462059
-0.120718308,0.246382937,-2.30602455,-2.30602455
0.0625076145,-0.278302372,0.669706345,0.669706345
-0.197828069,-0.269005239,-4.37940598,-4.37940598
0.0423700698,0.180889085,1.70373344,1.70372963
-0.104578875,0.209645301,-2.34142303,-2.34142303
-0.17710723,0.180578306,-2.76828957,-2.76829147
0.17111817,0.163265035,3.65657234,3.65657234
0.0792483166,0.202788129,2.28704262,2.28704453
-0.183939487,-0.17893073,-3.96327591,-3.96327591
-0.150030524,0.00271859416,-3.15936661,-3.15936661
0.0980752483,0.0780071095,2.16233063,2.16233063
0.140452445,-0.20687221,1.87059402,1.87059402
0.0938484371,-0.184175104,1.34657097,1.34657097
-0.0916965008,0.125942811,-2.539011,-2.539011
0.192081913,0.0669261664,4.33532333,4.33532333
-0.178199872,0.0697853789,-3.10087776,-3.10087776
-0.183059782,0.230487421,-2.65138435,-2.65138435
0.0838313177,-0.196123287,1.18324089,1.18324089
-0.163311601,-0.189880058,-3.84006119,-3.84006119
0.192010865,-0.0248636138,4.08332443,4.08332634
0.113632381,0.0818450078,2.3719368,2.3719368
0.0289652608,-0.212921843,0.421163559,0.421165466
0.178409785,-0.119194418,3.29314995,3.29314995
0.0312068872,0.119865566,1.3758831,1.3758831
0.059693262,0.264356643,2.18027306,2.18027306
-0.140624404,0.00501164328,-3.11297417,-3.11297417
-0.0383862443,-0.015498762,-2.7315712,-2.7315712
-0.152312994,-0.219543234,-3.85620499,-3.85620499
-0.0887697786,-0.117177241,-3.26179504,-3.26179504
-0.0288387146,0.0665925294,-2.1781826,-2.1781826
0.0538516454,-0.0529134609,1.21562576,1.21562576
-0.0364867561,-0.16942288,-3.17598152,-3.17597961
0.0353224985,-0.109775454,0.796833038,0.796833038
-0.185576066,-0.0489599742,-3.54312134,-3.54312134
-0.0103469295,-0.164644286,-1.49856567,-1.49856567
0.0289831739,0.0394631401,1.12102318,1.12102318
0.080800876,0.0887690857,1.97374725,1.97374725
0.0609732233,-0.110271506,1.13994217,1.13994217
0.114972889,0.0294866301,2.23745918,2.23745918
-0.0274327211,0.0756074861,-2.06760597,-2.06760597
-0.055737067,0.00764354691,-2.73852539,-2.73852539
0.0946822762,0.231841728,2.56731796,2.56731415
0.168422878,0.00217975513,3.10556221,3.10556221
0.00811004546,0.179922253,0.945075989,0.945074081
-0.074219726,0.202429414,-2.22782707,-2.22782898
-0.00234334148,-0.230485961,-1.09069443,-1.09069443
-0.171176344,0.205195934,-2.66827393,-2.66827393
-0.177772835,-0.131633133,-3.75263786,-3.75263786
-0.0663479865,-0.196203336,-3.40132713,-3.40132713
-0.0744426548,0.145615533,-2.40207672,-2.40207481
-0.194126859,0.196304053,-2.82622337,-2.82622337
0.142619208,-0.0766430572,2.28012276,2.28012276
-0.138554841,0.0605042465,-2.93682671,-2.93682671
-0.152130976,-0.0810483843,-3.42025566,-3.42025757
0.183371678,0.297278672,4.56946754,4.56946754
0.108841956,-0.113423094,1.7444973,1.7444973
0.0750660226,0.123243816,2.00165749,2.00165749
-0.0448633209,0.0845331773,-2.45609474,-2.45609474
-0.195708945,-0.174565405,-4.04016113,-4.04016113
0.0100353211,-0.20174922,-0.0627632141,-0.0627632141
-0.133637249,0.201782569,-2.49826431,-2.49826622
0.1956532,0.0335816555,4.38371277,4.38371277
0.135627896,0.294193,3.26484489,3.26484489
-0.143361643,-0.0310526323,-3.23312378,-3.23312569
-0.0429709144,-0.25197044,-3.46650887,-3.46650696
0.102132067,-0.0397325829,1.87265778,1.87265778
-0.0122692259,-0.209596217,-1.78120232,-1.78120422
-0.12762934,0.244262174,-2.34553719,-2.34553719
-0.182140365,-0.160288632,-3.88524628,-3.88524437
-0.0831762701,-0.00588147435,-2.90096474,-2.90096474
0.03457807,-0.00402601436,1.07988739,1.07988739
-0.166353866,-0.153799534,-3.7397213,-3.7397213
0.137435347,0.0825532228,2.67706871,2.67706871
0.0596596189,0.102121957,1.73104477,1.73104477
0.105161205,-0.265134901,1.25292778,1.25292778
-0.0533566475,0.0237164609,-2.67906189,-2.67905998
-0.0646174103,0.206687331,-2.17188072,-2.17188072
-0.0069709965,0.161176547,-0.257757187,-0.257757187
0.140806213,0.00287488964,2.48981476,2.48981667
0.163820893,0.052274365,2.98974609,2.98974609
0.140109718,-0.0956455246,2.19281578,2.19281578
-0.000473216583,0.0188466255,-0.194446564,-0.194446564
-0.158008114,-0.0608684942,-3.38420296,-3.38420105
0.166935071,0.078499347,3.22834206,3.22834206
-0.128997371,-0.0966866165,-3.3704319,-3.37042999
-0.123358794,-0.285106122,-3.92925644,-3.92925453
0.170984179,-0.0310756024,3.15564919,3.15564919
-0.0769859701,0.0590863153,-2.67681503,-2.67681503
-0.19707422,-0.133186743,-3.9144268,-3.9144268
0.0812133849,0.0802618638,1.95411682,1.95411682
0.19272238,0.0722146258,4.37447357,4.37447357
-0.00899765082,0.156859532,-0.424865723,-0.424865723
0.161331147,0.132417575,3.12395477,3.12395477
0.185284495,0.169203103,4.34786415,4.34786415
0.146720573,-0.231537551,1.87089157,1.87089157
0.0929654017,-0.035946779,1.76635361,1.76635361
0.0212415215,0.0924614444,1.15800285,1.15800285
0.187926054,0.290746838,4.75500298,4.75500298
-0.0847086981,0.140252098,-2.46425247,-2.46425247
0.0999934152,-0.092104286,1.69315338,1.69315338
-0.150452092,-0.275431812,-4.03354836,-4.03354836
0.110937253,-0.00618015509,2.08257103,2.08257103
0.194216073,-0.0210159272,4.17954254,4.17954254
0.191166788,-0.0530543998,3.97356224,3.97356224
0.117472857,-0.249108434,1.45595741,1.45595741
0.0221846849,0.181235865,1.41783714,1.41783714
0.169880673,0.193549857,3.66643906,3.66643906
-0.185211703,-0.0763785988,-3.6278038,-3.62780571
-0.180520609,-0.234430626,-4.12692451,-4.12692451
0.0701222494,0.127954915,1.95100975,1.95100975
0.109488271,0.219273925,2.71801567,2.71801567
0.0957725868,0.180522949,2.43163109,2.43163109
-0.180414513,-0.159278914,-3.86831474,-3.86831474
0.0487591103,0.214875177,1.88851357,1.88851357
-0.198199943,0.00877760537,-3.46297836,-3.46297836
0.0709149614,-0.282235622,0.766298294,0.766298294
-0.0394577757,0.237380922,-1.9654789,-1.9654789
0.0686451271,-0.157404989,1.10109711,1.10109711
0.141112447,-0.0911811441,2.21853638,2.21853256
0.141337872,-0.120633811,2.13499069,2.13499069
0.0361281,-0.0618359596,0.941333771,0.941333771
-0.0900699794,0.231934533,-2.20868111,-2.20868111
-0.124962524,-0.249113038,-3.8235321,-3.82353401
-0.0632292256,0.130583495,-2.39780045,-2.39780045
0.122972645,0.299246013,3.12023544,3.12023544
-0.0814551786,-0.0552348308,-3.04261208,-3.04261208
-0.145271495,0.0449231565,-3.01210213,-3.01210022
0.199032009,0.120528609,4.7478981,4.7478981
0.0380851366,-0.0645785406,0.961593628,0.961593628
0.166119501,-0.00185004238,2.96995544,2.96995544
-0.146253228,-0.0807729214,-3.3948288,-3.39482689
-0.173133329,-0.178812578,-3.87864113,-3.87864113
-0.192932487,-0.0280320495,-3.53713989,-3.53713989
0.0538161062,-0.0940245241,1.09539604,1.09539604
-0.0318472907,0.27552557,-1.61934853,-1.61934853
0.100785248,0.0245139822,2.04187012,2.04187012
-0.0861836523,0.238198087,-2.17218018,-2.17218018
-0.105961151,-0.104794361,-3.29833031,-3.29833031
0.163625926,0.017725233,2.88691902,2.88691902
0.0969271809,0.054446876,2.07937622,2.07937431
0.061375685,-0.120370023,1.1156826,1.1156826
-0.103451177,-0.106504589,-3.29296112,-3.29296112
-0.137823373,0.224588618,-2.45186615,-2.45186615
-0.0867012292,0.036893636,-2.78702736,-2.78702736
0.116789773,0.170294464,2.66788292,2.66788292
-0.0246454962,-0.0142456144,-2.12717628,-2.12717628
0.1978807,0.104758486,4.66158104,4.66158104
0.125855371,0.241532385,2.9892807,2.9892807
0.115035936,-0.188892394,1.60243797,1.60243797
0.0248682927,-0.238863513,0.290826797,0.290826797
0.0611688495,0.273209661,2.22561073,2.22561073
0.00509282574,-0.0402165055,0.0499897003,0.0499897003
-0.185662895,0.27586472,-2.53144455,-2.53144646
-0.158798933,-0.275352538,-4.09820938,-4.09820747
-0.101573355,-0.260681748,-3.75675011,-3.75675011
-0.0179528631,0.00965268072,-1.54920578,-1.54920578
-0.0749720186,-0.269423723,-3.66298676,-3.66298676
-0.155359849,-0.0692973733,-3.39845085,-3.39845085
-0.175788626,0.118913837,-2.94116974,-2.94116974
-0.117191784,-0.118757062,-3.38736153,-3.38736153
-0.0423496887,-0.0500342213,-2.85411263,-2.85411263
-0.199335724,-0.232757777,-4.26730728,-4.26730919
0.145105824,-0.299260169,1.64328003,1.64328003
0.00326694222,-0.00629879627,0.0138072968,0.0138072968
-0.0667623356,-0.0412037894,-2.93537521,-2.93537712
0.112232454,0.204722226,2.71039391,2.71039391
-0.0958605856,-0.106505737,-3.26081276,-3.26081276
-0.103006862,-0.0120819593,-3.00652695,-3.00652695
0.0733033419,-0.163048267,1.14445686,1.14445686
-0.0677057058,0.258230776,-2.02828598,-2.02828598
-0.180572286,-0.0235382374,-3.42019463,-3.42019463
0.0846232176,-0.2097276,1.15377235,1.15377235
-0.18105039,-0.217076778,-4.07159996,-4.07159805
0.16752927,-0.294444144,2.23320961,2.23320961
-0.124671213,-0.281229883,-3.92288971,-3.92288971
-0.155748218,0.0720895752,-2.98134804,-2.98134804
-0.103344433,0.0415272303,-2.84601974,-2.84601974
0.0360781513,0.209661201,1.69408989,1.69408989
-0.198103443,0.212021679,-2.80864525,-2.80864525
0.0476476364,-0.20235391,0.700265884,0.700265884
0.109174952,0.213294923,2.69667244,2.69667244
-0.0982946083,0.251276195,-2.18643951,-2.18643951
-0.0182170272,0.0620546713,-1.41120911,-1.41120911
0.193859816,-0.0830783546,3.99653053,3.99652672
0.125263736,-0.108960532,1.96660995,1.96660995
0.119685411,0.0604403503,2.38716507,2.38716507
-0.113457724,-0.0515843444,-3.1695385,-3.1695385
-0.0729457438,-0.253134966,-3.60235214,-3.60235214
-0.188066095,-0.0921128094,-3.70285606,-3.70285606
-0.192386344,-0.200707346,-4.10367393,-4.10367393
0.0900733247,0.124854743,2.19696426,2.19696426
0.0954321548,-0.109708101,1.58355331,1.58355331
0.156007782,0.0562983304,2.8370266,2.8370266
-0.149589464,-0.21376881,-3.82119179,-3.8211937
0.0772381723,-0.196233645,1.09827805,1.09827805
0.00291708065,0.295064688,0.89875412,0.89875412
-0.198396951,-0.290052116,-4.45558929,-4.45558929
0.197233826,0.0507832989,4.49155617,4.49155617
-0.149236009,0.238381326,-2.46641541,-2.46641541
0.152152121,0.0217202473,2.68774605,2.68774605
0.0487168133,-0.136087686,0.907283783,0.907283783
-0.179792121,0.0567405671,-3.15607262,-3.15607262
-0.0820979252,0.0981726274,-2.58071518,-2.58071518
0.134498075,-0.289103687,1.54705048,1.54705048
0.0382855088,-0.161231682,0.697368622,0.697368622
0.1495554,-0.147801295,2.15882301,2.15882301
0.0443080515,0.0321245044,1.31876183,1.31876183
-0.0415333994,0.106572457,-2.37406731,-2.37406731
0.0903078541,0.0401626788,1.95334244,1.95334244
0.103368893,0.290050238,2.84638786,2.84638786
-0.0322910435,0.00874983147,-2.47672462,-2.47672272
-0.195012048,0.177617133,-2.89392853,-2.89392853
0.00809202716,-0.0552231409,0.232595444,0.232595444
-0.162371218,0.233793855,-2.54278564,-2.54278564
-0.0419971049,0.109548956,-2.36706543,-2.36706352
-0.14025034,0.276929766,-2.310812,-2.310812
-0.128623292,-0.180274799,-3.6235714,-3.6235714
0.143593147,0.247549653,3.23017502,3.23017502
-0.115141034,-0.0181194674,-3.07571983,-3.07571983
0.0933979601,0.227019444,2.53701782,2.53701782
-0.048378922,0.0102116922,-2.69793892,-2.69794083
0.0966865644,0.138681591,2.32121658,2.32121658
0.11318405,0.0419602916,2.25075722,2.25075722
-0.158153966,0.242383972,-2.49752045,-2.49752045
0.146229014,0.178858459,3.06616974,3.06616974
-0.160055012,-0.177361578,-3.77159691,-3.77159691
0.0974401459,-0.286115944,1.09327507,1.09327507
0.191689849,-0.0737131909,3.93754196,3.93754196
0.0877250135,0.232542649,2.48127556,2.48127556
-0.0421480462,-0.108520508,-3.03033066,-3.03033066
0.0434964523,0.0485936254,1.35292435,1.35292435
-0.0363440104,0.0610648543,-2.44832611,-2.44832611
0.174152553,-0.0194158461,3.34976387,3.34976006
-0.121303126,-0.0736764073,-3.26897621,-3.2689743
-0.0423572063,-0.221334785,-3.37160301,-3.37160301
-0.134851396,0.110737242,-2.76940536,-2.76940536
-0.064208895,0.272939026,-1.96767426,-1.96767426
-0.102561302,-0.240645304,-3.69820976,-3.69820976
0.101401828,0.228621632,2.6429615,2.6429615
-0.0887546539,-0.178747132,-3.4471817,-3.4471817
-0.125693545,0.0132073807,-3.02554131,-3.02554131
-0.0126333432,-0.144336089,-1.61050606,-1.61050606
-0.181930751,-0.0111051956,-3.39162445,-3.39162636
0.183732942,0.0915115178,4.07712746,4.07712746
-0.00179737736,-0.233584762,-1.05870438,-1.05870438
-0.0990254804,-0.123135634,-3.32445526,-3.32445526
0.105921417,0.226026475,2.69256592,2.69256592
0.160656735,0.290741175,3.56190872,3.56190872
0.192946672,0.271799475,4.89791107,4.89791107
-0.171271145,-0.217323884,-3.99633789,-3.99633789
-0.0782133862,0.0317389518,-2.765131,-2.765131
-0.161208838,0.207478181,-2.61387444,-2.61387444
0.0467024706,0.025418641,1.33421707,1.33421707
-0.133875474,-0.148046717,-3.54543114,-3.54543114
-0.135875195,0.2111599,-2.48166847,-2.48166847
0.0336911455,0.141077653,1.47005653,1.47005272
-0.0815868527,-0.0772484168,-3.10968971,-3.10968971
-0.0380580127,0.156008989,-2.20679092,-2.20679092
0.108941197,-0.175911888,1.56360054,1.56360054
0.176615536,-0.227606803,2.91040802,2.91040611
0.15844883,-0.239762619,1.98631287,1.98631287
-0.0941840783,0.207887128,-2.30043602,-2.30043602
-0.128203169,-0.051859241,-3.23221588,-3.23221588
-0.0200562794,-0.152844623,-2.19714737,-2.19714546
0.0840980783,0.210800797,2.37194824,2.37195206
0.149830058,-0.0964067131,2.31295586,2.31295586
0.0123401573,-0.150956154,0.265872955,0.265872955
-0.102081396,-0.203247562,-3.5785656,-3.5785656
0.176007599,0.232793301,4.07178497,4.07178497
0.110943489,0.0105969124,2.13128853,2.13128853
-0.00375683373,0.0178474002,-0.447071075,-0.447071075
0.0146272052,-0.0392621495,0.697677612,0.697677612
-0.147298068,-0.224601686,-3.84506226,-3.84506226
0.180899888,-0.0107815443,3.68823051,3.68823051
0.181282207,-0.201853871,3.17843628,3.17843628
0.0217666216,-0.17536965,0.421596527,0.421596527
-0.0987261608,-0.281967252,-3.81097603,-3.81097603
-0.152418673,0.250109047,-2.44749069,-2.4474926
-0.0713868067,0.064877525,-2.63425064,-2.63425064
-0.0139943473,-0.059729252,-1.45853233,-1.45853233
0.0127544366,-0.187656626,0.186613083,0.186613083
0.195441559,0.190984726,4.79833412,4.79833412
0.0966458544,-0.0187444221,1.86341476,1.86341476
-0.138849154,0.252399504,-2.37567139,-2.37567139
-0.0634451732,-0.269935995,-3.61133003,-3.61133003
-0.063038528,0.176674217,-2.2564106,-2.2564106
0.0490834974,0.150503144,1.71488762,1.71488762
0.117454156,-0.172827229,1.68027306,1.68027306
0.16951333,-0.03720624,3.05963135,3.05963135
0.05560546,-0.29861474,0.521692276,0.521692276
0.197347403,-0.131462172,4.00033569,4.00033569
-0.175174758,-0.0250427742,-3.38019562,-3.38019562
-0.148387983,-0.208603978,-3.79970169,-3.79970169
0.0529131256,-0.0642435625,1.1705761,1.1705761
0.168740973,-0.108506106,2.82351685,2.82351685
0.09047205,-0.0233403426,1.77105904,1.77105904
0.0639805198,0.0598172136,1.6750164,1.6750164
-0.0108864112,0.270036668,-0.226024628,-0.226024628
-0.0629145429,-0.193658695,-3.378582,-3.378582
0.0712376237,0.207604542,2.18696976,2.18696976
-0.183898509,-0.0302203875,-3.46921349,-3.46921349
0.156995073,0.149771169,3.11891937,3.11891937
0.196723089,0.0188482869,4.3851738,4.3851738
0.0639982894,-0.118511833,1.15476608,1.15476608
0.179014236,-0.0801987052,3.42411423,3.42411423
0.0954042822,-0.0581158772,1.73316383,1.73316383
0.0247275718,0.131869525,1.31702423,1.31702423
0.00357366074,0.244251803,0.795030594,0.795030594
-0.0322796032,0.0882430822,-2.22583771,-2.22583771
-0.0630550236,-0.0551059991,-2.96106339,-2.96106339
-0.0239799563,-0.224515796,-2.71389961,-2.71390152
